"(PDH-CSV 4.0) (Eastern Daylight Time)(240)","\\7702-48817743\Process(_Total)\Virtual Bytes","\\7702-48817743\Process(AnyDesk)\Virtual Bytes","\\7702-48817743\Process(AnyDesk#1)\Virtual Bytes","\\7702-48817743\Process(AnyDesk#2)\Virtual Bytes","\\7702-48817743\Process(_Total)\Private Bytes","\\7702-48817743\Process(AnyDesk)\Private Bytes","\\7702-48817743\Process(AnyDesk#1)\Private Bytes","\\7702-48817743\Process(AnyDesk#2)\Private Bytes"
"09/16/2021 07:56:46.565","238132988555264","111489024","117972992","254742528","1326096384","20406272","19419136","56729600"
"09/16/2021 07:56:48.570","238132984885248","111489024","117972992","254742528","1325727744","20406272","19419136","56729600"
"09/16/2021 07:56:50.574","238132984360960","111489024","117972992","254742528","1325674496","20406272","19419136","56729600"
"09/16/2021 07:56:52.564","238132984360960","111489024","117972992","254742528","1325674496","20406272","19419136","56729600"
"09/16/2021 07:56:54.569","238132984360960","111489024","117972992","254742528","1325674496","20406272","19419136","56729600"
"09/16/2021 07:56:56.574","238132982001664","111489024","117972992","254742528","1325461504","20406272","19419136","56729600"
"09/16/2021 07:56:58.564","238132982001664","111489024","117972992","254742528","1325461504","20406272","19419136","56729600"
"09/16/2021 07:57:00.569","238132988309504","111489024","117972992","254742528","1326407680","20406272","19419136","56729600"
"09/16/2021 07:57:02.574","238132990914560","111489024","117972992","254742528","1326059520","20406272","19419136","56729600"
"09/16/2021 07:57:04.562","238132990914560","111489024","117972992","254742528","1326059520","20406272","19419136","56729600"
"09/16/2021 07:57:06.567","238132990914560","111489024","117972992","254742528","1326059520","20406272","19419136","56729600"
"09/16/2021 07:57:08.573","238132990914560","111489024","117972992","254742528","1326059520","20406272","19419136","56729600"
"09/16/2021 07:57:10.563","238132990390272","111489024","117972992","254742528","1325973504","20406272","19419136","56729600"
"09/16/2021 07:57:12.568","238132987768832","111489024","117972992","254742528","1325842432","20406272","19419136","56729600"
"09/16/2021 07:57:14.574","238132987768832","111489024","117972992","254742528","1325842432","20406272","19419136","56729600"
"09/16/2021 07:57:16.562","238132987768832","111489024","117972992","254742528","1325846528","20406272","19419136","56729600"
"09/16/2021 07:57:18.567","238132990914560","111489024","117972992","254742528","1326342144","20406272","19419136","56729600"
"09/16/2021 07:57:20.570","238132985147392","111489024","117972992","254742528","1325711360","20406272","19419136","56729600"
"09/16/2021 07:57:22.561","238132984623104","111489024","117972992","254742528","1325658112","20406272","19419136","56729600"
"09/16/2021 07:57:24.566","238132982001664","111489024","117972992","254742528","1325252608","20406272","19419136","56729600"
"09/16/2021 07:57:26.571","238132982001664","111489024","117972992","254742528","1325252608","20406272","19419136","56729600"
"09/16/2021 07:57:28.561","238132982525952","111489024","117972992","254742528","1325305856","20406272","19419136","56729600"
"09/16/2021 07:57:30.564","238132983574528","111489024","117972992","254742528","1324572672","20406272","19419136","56729600"
"09/16/2021 07:57:32.568","238132984623104","111489024","117972992","254742528","1324625920","20406272","19419136","56729600"
"09/16/2021 07:57:34.573","238132984623104","111489024","117972992","254742528","1324625920","20406272","19419136","56729600"
"09/16/2021 07:57:36.564","238132985147392","111489024","117972992","254742528","1324720128","20406272","19419136","56729600"
"09/16/2021 07:57:38.569","238132984623104","111489024","117972992","254742528","1324691456","20406272","19419136","56729600"
"09/16/2021 07:57:40.574","238132985671680","111489024","117972992","254742528","1324744704","20406272","19419136","56729600"
"09/16/2021 07:57:42.565","238132988817408","111489024","117972992","254742528","1324912640","20406272","19419136","56729600"
"09/16/2021 07:57:44.568","238132991963136","111489024","117972992","254742528","1325076480","20406272","19419136","56729600"
"09/16/2021 07:57:46.572","238132990914560","111489024","117972992","254742528","1324969984","20406272","19419136","56729600"
"09/16/2021 07:57:48.563","238132988817408","111489024","117972992","254742528","1324720128","20406272","19419136","56729600"
"09/16/2021 07:57:50.568","238132988293120","111489024","117972992","254742528","1324666880","20406272","19419136","56729600"
"09/16/2021 07:57:52.573","238132987768832","111489024","117972992","254742528","1324625920","20406272","19419136","56729600"
"09/16/2021 07:57:54.563","238132987768832","111489024","117972992","254742528","1324625920","20406272","19419136","56729600"
"09/16/2021 07:57:56.568","238132986720256","111489024","117972992","254742528","1324486656","20406272","19419136","56729600"
"09/16/2021 07:57:58.574","238132986720256","111489024","117972992","254742528","1324486656","20406272","19419136","56729600"
"09/16/2021 07:58:00.564","238132987260928","111489024","117972992","254742528","1325084672","20406272","19419136","56729600"
"09/16/2021 07:58:02.570","238132989341696","111489024","117972992","254742528","1324785664","20406272","19419136","56729600"
"09/16/2021 07:58:04.575","238132989341696","111489024","117972992","254742528","1324785664","20406272","19419136","56729600"
"09/16/2021 07:58:06.565","238132989341696","111489024","117972992","254742528","1324785664","20406272","19419136","56729600"
"09/16/2021 07:58:08.569","238132989341696","111489024","117972992","254742528","1324785664","20406272","19419136","56729600"
"09/16/2021 07:58:10.573","238132989341696","111489024","117972992","254742528","1324785664","20406272","19419136","56729600"
"09/16/2021 07:58:12.563","238132989341696","111489024","117972992","254742528","1324785664","20406272","19419136","56729600"
"09/16/2021 07:58:14.568","238132989341696","111489024","117972992","254742528","1324785664","20406272","19419136","56729600"
"09/16/2021 07:58:16.573","238132988293120","111489024","117972992","254742528","1324580864","20406272","19419136","56729600"
"09/16/2021 07:58:18.561","238132990390272","111489024","117972992","254742528","1324953600","20406272","19419136","56729600"
"09/16/2021 07:58:20.564","238132991438848","111489024","117972992","254742528","1324990464","20406272","19419136","56729600"
"09/16/2021 07:58:22.568","238132998778880","111489024","117972992","254742528","1325477888","20406272","19419136","56729600"
"09/16/2021 07:58:24.571","238132998778880","111489024","117972992","254742528","1325477888","20406272","19419136","56729600"
"09/16/2021 07:58:26.561","238132992487424","111489024","117972992","254742528","1324982272","20406272","19419136","56729600"
"09/16/2021 07:58:28.567","238132993536000","111489024","117972992","254742528","1325072384","20406272","19419136","56729600"
"09/16/2021 07:58:30.572","238132991963136","111489024","117972992","254742528","1324929024","20406272","19419136","56729600"
"09/16/2021 07:58:32.560","238132989865984","111489024","117972992","254742528","1324818432","20406272","19419136","56729600"
"09/16/2021 07:58:34.564","238132989865984","111489024","117972992","254742528","1324818432","20406272","19419136","56729600"
"09/16/2021 07:58:36.570","238132989865984","111489024","117972992","254742528","1324818432","20406272","19419136","56729600"
"09/16/2021 07:58:38.575","238132989865984","111489024","117972992","254742528","1324818432","20406272","19419136","56729600"
"09/16/2021 07:58:40.565","238132990390272","111489024","117972992","254742528","1324855296","20406272","19419136","56729600"
"09/16/2021 07:58:42.570","238133009965056","111489024","117972992","254742528","1326239744","20406272","19419136","56729600"
"09/16/2021 07:58:44.575","238133009965056","111489024","117972992","254742528","1326366720","20406272","19419136","56729600"
"09/16/2021 07:58:46.565","238133008916480","111489024","117972992","254742528","1326260224","20406272","19419136","56729600"
"09/16/2021 07:58:48.570","238133009268736","111489024","117972992","254742528","1327824896","20406272","19419136","56729600"
"09/16/2021 07:58:50.574","238133018259456","111489024","117972992","254742528","1329287168","20406272","19419136","57081856"
"09/16/2021 07:58:52.563","238133020971008","111489024","117972992","254742528","1329471488","20406272","19419136","57081856"
